,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,0,0,2017-05-08,121.07,121.5,119.66999799999999,120.959999,114.374214,5541100,0.0
1,1,1,1,1,1,1,2017-05-15,120.959999,123.309998,119.410004,120.980003,114.393127,10389600,1.999834650359531
2,2,2,2,2,2,2,2017-05-22,121.599998,123.559998,120.300003,122.889999,116.199127,8251700,1.9844576774713782
3,3,3,3,3,3,3,2017-05-29,122.610001,125.980003,122.349998,125.739998,118.89396699999999,7697200,1.9773341892370637
4,4,4,4,4,4,4,2017-06-05,126.0,127.0,124.980003,125.82,118.969597,9162100,1.999364155142267
5,5,5,5,5,5,5,2017-06-12,125.529999,128.0,124.5,127.559998,120.614861,11812800,1.9863593757660611
6,6,6,6,6,6,6,2017-06-19,128.470001,128.470001,119.099998,122.739998,116.057281,20246200,2.0392700022693497
7,7,7,7,7,7,7,2017-06-26,123.150002,124.400002,122.0,123.68,116.946106,11542900,1.9923997250970247
8,8,8,8,8,8,8,2017-07-03,123.82,124.879997,122.029999,124.209999,117.447258,6392300,1.9957330407836167
9,9,9,9,9,9,9,2017-07-10,124.050003,126.959999,123.199997,126.699997,119.801689,8165800,1.980347292352343
10,10,10,10,10,10,10,2017-07-17,126.769997,128.96000700000002,125.480003,128.850006,121.83464099999999,9343000,1.9833138618557766
11,11,11,11,11,11,11,2017-07-24,128.270004,129.699997,127.309998,128.399994,121.40913400000001,8209400,2.0035047665189145
12,12,12,12,12,12,12,2017-07-31,128.5,130.669998,127.989998,130.199997,123.11113,11211300,1.9861750918473524
13,13,13,13,13,13,13,2017-08-07,129.830002,130.350006,128.119995,128.199997,121.22001599999999,6175700,2.0156006243900304
14,14,14,14,14,14,14,2017-08-14,128.880005,130.490005,127.269997,127.440002,120.50140400000001,7340300,2.005963551381614
15,15,15,15,15,15,15,2017-08-21,127.489998,129.779999,127.260002,129.389999,122.34523,6138700,1.9849293066305689
16,16,16,16,16,16,16,2017-08-28,129.71000700000002,130.949997,128.28999299999998,130.100006,123.01657900000001,6851600,1.9945426059396183
17,17,17,17,17,17,17,2017-09-04,130.100006,134.970001,129.100006,133.720001,126.439476,8265900,1.9729285449227603
18,18,18,18,18,18,18,2017-09-11,134.619995,136.949997,133.610001,135.350006,127.980759,13408600,1.9879571117270582
19,19,19,19,19,19,19,2017-09-18,135.490005,138.149994,135.490005,137.899994,130.391876,10799300,1.9815084255913746
20,20,20,20,20,20,20,2017-09-25,137.940002,138.699997,132.270004,135.070007,127.715981,16818600,2.0209520015794475
21,21,21,21,21,21,21,2017-10-02,135.229996,136.970001,133.66000400000001,136.25,128.831726,10337200,1.9913395009174315
22,22,22,22,22,22,22,2017-10-09,136.25,140.0,136.029999,139.199997,131.62114,10023800,1.9788074923593568
23,23,23,23,23,23,23,2017-10-16,139.429993,139.570007,136.83999599999999,139.490005,131.895309,7205200,1.99792094064374
24,24,24,24,24,24,24,2017-10-23,139.75,143.610001,138.050003,143.279999,136.791122,9421000,1.9735483387321908
25,25,25,25,25,25,25,2017-10-30,143.389999,144.690002,141.470001,144.03999299999995,137.516708,9381600,1.994723729263164
26,26,26,26,26,26,26,2017-11-06,143.119995,145.0,142.28999299999995,143.889999,137.373535,6192400,2.0010424213012885
27,27,27,27,27,27,27,2017-11-13,143.610001,147.279999,142.770004,145.449997,138.862885,9658100,1.989274678362489
28,28,28,28,28,28,28,2017-11-20,145.369995,148.470001,144.880005,147.630005,140.94413799999995,5200100,1.9852332999650038
29,29,29,29,29,29,29,2017-11-27,148.0,148.600006,145.229996,146.570007,139.932144,10059700,2.007232025307879
30,30,30,30,30,30,30,2017-12-04,147.5,150.58999599999999,146.080002,150.529999,143.71281399999995,8124500,1.9736930045419052
31,31,31,31,31,31,31,2017-12-11,150.550003,152.899994,149.96000700000005,152.66000400000001,145.74633799999995,11009300,1.9860473932648397
32,32,32,32,32,32,32,2017-12-18,153.050003,158.440002,150.990005,153.889999,146.920624,13929800,1.9920073103645939
33,33,33,33,33,33,33,2017-12-25,153.139999,154.580002,152.46000700000005,153.08999599999999,146.156876,5781200,2.0052257039708854
34,34,34,34,34,34,34,2018-01-01,153.5,157.720001,152.779999,157.669998,150.529449,8500700,1.9709519752768692
