,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2017-06-01,66.260002,73.66999799999998,66.120003,72.510002,60.708115,131258700,0.0
1,1,1,1,2017-07-01,72.760002,75.040001,69.379997,69.910004,58.53128100000001,99934600,2.0371906429872326
2,2,2,2,2017-08-01,70.029999,75.400002,69.470001,75.300003,63.610699,99255800,1.928419670846494
3,3,3,3,2017-09-01,75.589996,90.949997,74.730003,88.860001,75.06568100000001,192270000,1.8474004293562862
4,4,4,4,2017-10-01,89.739998,98.260002,85.239998,90.25,76.239891,139557400,1.984598349030471
5,5,5,5,2017-11-01,90.779999,97.529999,90.190002,96.919998,82.445656,100958500,1.931180374147346
6,6,6,6,2017-12-01,97.190002,99.099998,92.900002,96.709999,82.267014,85780700,2.002171430071052
7,7,7,7,2018-01-01,97.139999,125.860001,96.75,112.220001,95.460709,143368200,1.8617893257726847
8,8,8,8,2018-02-01,112.239998,122.0,101.0,115.830002,99.238358,139295800,1.9688336274051002
9,9,9,9,2018-03-01,115.910004,121.449997,91.120003,94.650002,81.092224,168460900,2.2237717860798356
10,10,10,10,2018-04-01,94.0,99.419998,88.220001,96.550003,82.720047,139796000,1.9803210674162277
11,11,11,11,2018-05-01,102.099998,107.25,98.5,98.940002,85.645752,243029400,1.9758439564211852
12,12,12,12,2018-06-01,97.93,101.080002,90.809998,92.650002,80.200912,161585700,2.0678899067913674
13,13,13,13,2018-07-01,92.059998,98.949997,86.760002,92.230003,79.837349,145209800,2.004553821818698
14,14,14,14,2018-08-01,92.290001,100.230003,92.279999,95.980003,83.931976,111959100,1.9609293615046042
15,15,15,15,2018-09-01,95.970001,96.400002,90.400002,94.580002,82.707726,98560300,2.014802294040975
16,16,16,16,2018-10-01,94.739998,96.599998,77.739998,77.849998,68.077774,138285200,2.2149005064842777
17,17,17,17,2018-11-01,77.709999,94.269997,77.5,94.269997,83.318497,162381600,1.8258194598224078
18,18,18,18,2018-12-01,94.32,94.980003,82.410004,92.190002,81.480148,125818200,2.0225620452855613
19,19,19,19,2019-01-01,91.239998,92.300003,75.769997,80.290001,70.962585,181053400,2.1482127394667736
20,20,20,20,2019-02-01,80.25,81.699997,77.519997,79.239998,70.893547,108610200,2.0132509215863434
21,21,21,21,2019-03-01,79.769997,81.989998,77.089996,80.589996,72.101334,128125500,1.9832485659882648
22,22,22,22,2019-04-01,80.980003,84.730003,76.809998,79.389999,71.02774000000002,127085000,2.015115216212561
23,23,23,23,2019-05-01,79.599998,81.75,75.620003,76.709999,69.53999300000001,101083900,2.0349367753218197
24,24,24,24,2019-06-01,76.629997,79.339996,65.059998,72.720001,65.922935,258340300,2.05486795854142
25,25,25,25,2019-07-01,73.5,74.970001,65.629997,66.620003,60.393097,245437300,2.091564060722123
26,26,26,26,2019-08-01,66.93,68.459999,62.66,65.739998,60.504101,189823000,2.013386142786314
27,27,27,27,2019-09-01,65.779999,76.440002,64.440002,75.720001,69.689247,167493600,1.8681985886397439
28,28,28,28,2019-10-01,75.889999,79.790001,71.57,79.550003,73.21419499999998,161810100,1.9518541564354184
29,29,29,29,2019-11-01,80.029999,90.410004,79.129997,87.730003,83.12808199999998,162659300,1.906759378544647
30,30,30,30,2019-12-01,87.839996,91.989998,85.589996,88.540001,83.895599,141955600,1.99085161519255
31,31,31,31,2020-01-01,89.08000200000002,90.290001,80.410004,81.019997,76.77005,191670500,2.092816641303998
32,32,32,32,2020-02-01,81.309998,97.860001,80.91999799999998,85.709999,82.311279,204719800,1.9452805733902763
