,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2017-06-01,124.93,128.470001,119.099998,123.68,116.946106,56432600,0.0
1,1,1,1,2017-07-01,123.82,129.699997,122.029999,128.820007,121.806267,33694900,1.9600993112816707
2,2,2,2,2017-08-01,129.100006,130.919998,127.260002,130.759995,123.640617,34604900,1.9851637498150718
3,3,3,3,2017-09-01,130.949997,138.699997,129.100006,135.070007,127.715981,50820700,1.9680905324895706
4,4,4,4,2017-10-01,135.229996,143.779999,133.660004,142.360001,134.60907,41387500,1.948791837954539
5,5,5,5,2017-11-01,142.259995,148.600006,141.470001,148.009995,141.306915,34120000,1.961826942835854
6,6,6,6,2017-12-01,147.699997,158.440002,145.75,153.089996,146.156876,40816400,1.9668168976893827
7,7,7,7,2018-01-01,153.5,162.600006,152.779999,160.699997,153.422226,42247000,1.9526446724202489
8,8,8,8,2018-02-01,160.160004,165.580002,148.78999299999995,161.009995,153.71817,43864100,1.9980746661100137
9,9,9,9,2018-03-01,161.279999,164.300003,147.160004,153.5,146.548294,66273100,2.048925048859935
10,10,10,10,2018-04-01,151.820007,155.699997,146.050003,151.199997,144.352463,42164300,2.0152116603547285
11,11,11,11,2018-05-01,151.089996,157.649994,149.139999,155.740005,149.998917,37186500,1.970848800216746
12,12,12,12,2018-06-01,156.940002,165.559998,155.300003,163.589996,157.55955500000005,57789200,1.9520142356382233
13,13,13,13,2018-07-01,161.899994,168.949997,158.080002,159.330002,153.456573,42665600,2.0267369230309806
14,14,14,14,2018-08-01,160.309998,169.919998,157.839996,169.070007,162.837524,37640800,1.9423906985465493
15,15,15,15,2018-09-01,168.759995,175.639999,167.5,170.199997,163.925858,40698200,1.9933608106937861
16,16,16,16,2018-10-01,171.139999,174.820007,150.630005,157.619995,151.809601,53970000,2.0798122217933073
17,17,17,17,2018-11-01,157.899994,165.940002,155.25,164.520004,159.903503,47618200,1.9580597566725078
18,18,18,18,2018-12-01,165.970001,168.369995,132.630005,141.009995,137.053207,58259200,2.166725833867308
19,19,19,19,2019-01-01,138.929993,154.899994,135.580002,153.550003,149.241318,43567200,1.9183327401172372
20,20,20,20,2019-02-01,154.25,162.5,153.660004,161.380005,156.85159299999995,34127700,1.9514809656871681
21,21,21,21,2019-03-01,163.0,177.490005,160.5,176.020004,171.080811,45264400,1.916827640794736
22,22,22,22,2019-04-01,175.5,182.830002,174.559998,182.669998,177.54422,35897100,1.9635955872731767
23,23,23,23,2019-05-01,183.199997,183.350006,170.350006,178.070007,174.506821,39072700,2.0258324862086403
24,24,24,24,2019-06-01,177.869995,187.309998,174.229996,184.770004,181.072754,39715600,1.9637387191916713
25,25,25,25,2019-07-01,184.830002,197.470001,184.429993,192.580002,188.726456,34614000,1.9594454360842721
26,26,26,26,2019-08-01,193.330002,200.679993,184.229996,198.169998,194.20459,40805700,1.9717919157470043
27,27,27,27,2019-09-01,196.360001,202.800003,187.279999,192.350006,188.501068,43457400,2.030257300849785
28,28,28,28,2019-10-01,192.600006,193.369995,181.970001,185.419998,181.709732,42679200,2.0373746525442202
29,29,29,29,2019-11-01,186.699997,201.660004,185.479996,201.160004,197.981766,30349000,1.9217537995276637
30,30,30,30,2019-12-01,201.440002,213.25,196.470001,210.570007,207.243088,39647400,1.9553117600456744
31,31,31,31,2020-01-01,210.860001,211.919998,203.190002,205.210007,201.967789,46225400,2.0261195839245794
32,32,32,32,2020-02-01,205.339996,216.389999,175.300003,180.589996,178.423889,42168200,2.136330979264211
