,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,0,0,2017-06-01,204.25,214.57000699999998,203.679993,208.190002,187.13018799999998,40515600,0.0
1,1,1,1,1,1,1,2017-07-01,209.139999,213.41000400000001,197.169998,201.169998,180.820313,35520800,2.0348958794541523
2,2,2,2,2,2,2,2017-08-01,202.28999299999998,208.630005,201.330002,204.320007,183.651657,34874400,1.9845829635274044
3,3,3,3,3,3,3,2017-09-01,204.610001,214.649994,200.509995,209.899994,189.75241100000002,35746200,1.9734159735135584
4,4,4,4,4,4,4,2017-10-01,210.729996,238.899994,210.02999900000003,230.190002,208.094818,46169500,1.9118553897922985
5,5,5,5,5,5,5,2017-11-01,231.0,243.44999700000002,226.039993,243.13999900000002,219.801773,34753400,1.9467385166847846
6,6,6,6,6,6,6,2017-12-01,243.190002,244.229996,234.27999900000003,235.36999500000002,213.85102799999999,38798800,2.0330118713729846
7,7,7,7,7,7,7,2018-01-01,235.77999900000003,259.769989,232.809998,250.5,227.597733,49095800,1.9396007784431137
8,8,8,8,8,8,8,2018-02-01,247.440002,250.08999599999999,218.17999300000002,235.50999500000003,213.97821000000002,58411400,2.0636491245307864
9,9,9,9,9,9,9,2018-03-01,236.149994,243.100006,214.729996,219.520004,200.626221,55656900,2.0728407011144188
10,10,10,10,10,10,10,2018-04-01,218.05000299999998,221.690002,194.179993,194.389999,177.659119,67396900,2.129276223721777
11,11,11,11,11,11,11,2018-05-01,194.029999,206.03999299999998,191.440002,197.229996,180.254669,64993100,1.985600582783564
12,12,12,12,12,12,12,2018-06-01,198.75,206.78999299999998,193.639999,196.720001,181.01818799999998,52817200,2.002592491853434
13,13,13,13,13,13,13,2018-07-01,195.46000700000002,212.77999900000003,190.570007,212.32000699999998,195.373062,51342100,1.9265259726559825
14,14,14,14,14,14,14,2018-08-01,210.979996,211.72000099999997,197.110001,210.919998,194.08476299999998,39291800,2.006637630444127
15,15,15,15,15,15,15,2018-09-01,210.55000299999998,217.86999500000002,205.899994,210.710007,195.19116200000002,45069500,2.0009965876941003
16,16,16,16,16,16,16,2018-10-01,212.399994,217.33999599999999,181.979996,190.259995,176.247299,67294100,2.1074845607979755
17,17,17,17,17,17,17,2018-11-01,190.610001,209.770004,190.08999599999999,207.919998,192.606628,51077500,1.9150634707104988
18,18,18,18,18,18,18,2018-12-01,211.210007,211.94999700000002,176.869995,190.53999299999998,177.712036,51330100,2.091214472753759
19,19,19,19,19,19,19,2019-01-01,187.820007,200.889999,182.889999,200.300003,186.81497199999998,53042200,1.9512730411691506
20,20,20,20,20,20,20,2019-02-01,201.490005,211.58999599999999,196.25,207.389999,193.427628,36859800,1.9658132213019588
21,21,21,21,21,21,21,2019-03-01,208.809998,210.539993,198.0,207.779999,195.13121,47486500,1.9981230147180815
22,22,22,22,22,22,22,2019-04-01,209.88999900000002,219.75,186.550003,189.509995,177.973434,54909300,2.096406545733907
23,23,23,23,23,23,23,2019-05-01,189.490005,189.71000700000002,159.630005,159.75,150.025101,94604800,2.186291048513302
24,24,24,24,24,24,24,2019-06-01,159.75,174.559998,159.320007,173.33999599999999,164.18061799999995,56451600,1.9215991905295764
25,25,25,25,25,25,25,2019-07-01,175.46000700000005,187.720001,164.28999299999995,174.720001,165.487686,62578400,1.992101619779638
26,26,26,26,26,26,26,2019-08-01,174.78999299999995,177.669998,154.0,161.720001,153.174622,63240300,2.080385851592964
27,27,27,27,27,27,27,2019-09-01,161.399994,172.479996,157.259995,164.399994,157.137833,51261300,1.9836983388211074
28,28,28,28,28,28,28,2019-10-01,165.0,169.949997,150.580002,164.990005,157.701797,67404900,1.9964239591361912
29,29,29,29,29,29,29,2019-11-01,166.940002,176.71000700000005,164.509995,169.770004,162.27063,48542800,1.9718442664347229
30,30,30,30,30,30,30,2019-12-01,170.16000400000001,179.179993,162.720001,176.419998,170.086777,56394100,1.9623058945959178
31,31,31,31,31,31,31,2020-01-01,177.679993,182.550003,158.229996,158.66000400000001,152.964325,70685000,2.1119374357257676
32,32,32,32,32,32,32,2020-02-01,160.029999,165.03999299999995,145.970001,149.240005,143.88249199999996,76360000,2.063119798206922
