,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,0,2017-05-08,130.630005,131.970001,129.550003,131.419998,131.419998,529200,0.0
1,1,1,1,1,2017-05-15,131.5,134.91000400000001,129.800003,134.429993,134.429993,1744000,1.9776092006491437
2,2,2,2,2,2017-05-22,134.5,139.020004,134.100006,138.58999599999999,138.58999599999999,1774800,1.9699833817730974
3,3,3,3,3,2017-05-29,138.199997,142.490005,137.33999599999999,141.550003,141.550003,1355700,1.9790886122411455
4,4,4,4,4,2017-06-05,141.979996,145.580002,139.78999299999998,141.229996,141.229996,1889500,2.0022658571766865
5,5,5,5,5,2017-06-12,139.940002,143.71000700000005,134.800003,143.389999,143.389999,1637100,1.9849361669916745
6,6,6,6,6,2017-06-19,144.169998,147.449997,143.53999299999995,144.490005,144.490005,1144100,1.9923869751405987
7,7,7,7,7,2017-06-26,144.490005,145.399994,139.490005,143.300003,143.300003,1553800,2.008304270586791
8,8,8,8,8,2017-07-03,144.820007,145.5,139.550003,142.050003,142.050003,730300,2.008799718223167
9,9,9,9,9,2017-07-10,142.119995,146.059998,140.0,145.070007,145.070007,1216300,1.9791824370698485
10,10,10,10,10,2017-07-17,145.5,145.96000700000005,142.820007,144.100006,144.100006,1193200,2.006731443161772
11,11,11,11,11,2017-07-24,144.100006,149.33999599999999,141.559998,146.25,146.25,2590900,1.9852991863247864
12,12,12,12,12,2017-07-31,147.020004,151.220001,144.509995,151.009995,151.009995,1601700,1.9684789407482597
13,13,13,13,13,2017-08-07,151.669998,157.41000400000001,149.880005,151.369995,151.369995,1637100,1.9976217215307435
14,14,14,14,14,2017-08-14,152.600006,156.240005,151.949997,152.139999,152.139999,972900,1.9949388457666548
15,15,15,15,15,2017-08-21,152.149994,155.58999599999999,147.130005,147.669998,147.669998,1565200,2.030270204242841
16,16,16,16,16,2017-08-28,147.800003,151.58999599999999,144.009995,151.059998,151.059998,1696600,1.9775585856952018
17,17,17,17,17,2017-09-04,150.570007,157.880005,148.800003,156.899994,156.899994,1312900,1.9627788640960688
