"","x"
"1",10.38131508
"2",12.99107426
"3",9.387927253
"4",6.324158132
"5",7.286375451
"6",9.95250907
"7",7.859234064
"8",10.07928182
"9",8.716880482
"10",8.826670991
"11",7.590108744
"12",9.252911798
"13",11.92058314
"14",13.69364865
"15",9.433413128
"16",10.59285892
"17",11.11659744
"18",8.864798409
"19",11.90868965
"20",11.23699074
"21",8.23241671
"22",10.96545633
"23",7.18585902
"24",7.695117427
"25",10.22737613
"26",12.86593991
"27",7.941770924
"28",11.36738586
"29",10.96075541
"30",8.604739345
"31",10.15279339
"32",10.10792103
"33",8.788624383
"34",12.94657467
"35",6.919575416
"36",10.51581193
"37",8.814184692
"38",8.395151374
"39",9.999370869
"40",8.879150318
"41",10.07434959
"42",9.452815388
"43",9.478905773
"44",11.22708421
"45",10.15000241
"46",7.702244012
"47",8.09278487
"48",9.276342455
"49",7.936484261
"50",11.0702916
"51",9.007949928
"52",9.276127963
"53",9.87881759
"54",8.854292993
"55",5.787974675
"56",12.4397742
"57",7.751709756
"58",9.548181656
"59",11.00060354
"60",9.581596287
"61",7.260800017
"62",7.386207289
"63",10.58063184
"64",12.58001865
"65",8.997138348
"66",11.91533341
"67",8.957903884
"68",11.67787958
"69",9.047682169
"70",11.00746601
"71",11.44750417
"72",6.630755513
"73",12.17773837
"74",9.213505303
"75",11.01752975
"76",8.451095641
"77",9.879125094
"78",8.311162575
"79",8.590544418
"80",10.14180688
"81",8.477797971
"82",11.76417038
"83",9.857995156
"84",10.20500219
"85",6.908854063
"86",9.637537129
"87",6.714914892
"88",7.926197335
"89",8.658480004
"90",9.862015718
"91",6.617780917
"92",10.44218127
"93",10.14902395
"94",9.602788156
"95",8.853557457
"96",8.799795719
"97",8.356569648
"98",10.89561898
"99",9.578777854
"100",8.256386965
"101",9.591542196
"102",9.893450686
"103",5.3484106
"104",10.93540722
"105",8.771965931
"106",6.641793594
"107",10.58218307
"108",14.16406487
"109",7.387902596
"110",12.29617575
"111",12.48017699
"112",7.935915342
"113",9.112019776
"114",8.166472439
"115",9.000641827
"116",7.255050326
"117",10.56419204
"118",9.734298663
"119",10.58314069
"120",9.911765063
"121",5.292632884
"122",12.06528436
"123",9.835912198
"124",10.82897632
"125",8.590413339
"126",9.691864969
"127",8.476632644
"128",13.08479304
"129",7.660970643
"130",6.90387803
"131",10.44308337
"132",8.872938298
"133",11.96660633
"134",11.09211567
"135",7.265074218
"136",8.523668281
"137",9.619932109
"138",9.98276961
"139",8.437937176
"140",12.64711052
"141",6.019632302
"142",9.348816041
"143",7.914022999
"144",7.489521762
"145",10.98309205
"146",10.27959939
"147",3.794510855
"148",9.968507677
"149",7.417676287
"150",10.93888838
"151",8.79377796
"152",6.232653932
"153",10.33113636
"154",9.320873121
"155",6.029024405
"156",12.2540285
"157",6.020142988
"158",9.857321773
"159",13.20821999
"160",9.639358937
"161",10.27723449
"162",8.801510103
"163",11.54226121
"164",13.27268818
"165",9.866907313
"166",9.724948959
"167",10.29048899
"168",8.93093952
"169",8.021739898
"170",6.535301557
"171",10.76907209
"172",6.184868685
"173",8.765001058
"174",7.497956418
"175",9.849755662
"176",7.200833876
"177",9.384434003
"178",9.028858807
"179",11.24522972
"180",11.26394756
"181",9.740504923
"182",9.281657948
"183",12.09057358
"184",9.753459294
"185",8.364125351
"186",5.733148964
